City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
299,maniwaki,12,CA,1540091774,76,46.38,-75.98,34.12,7.96
300,bolu,92,TR,1540091774,100,40.73,31.61,48.29,2.37
301,honiara,75,SB,1540090800,66,-9.43,159.96,86.0,5.82
302,adrar,0,DZ,1540090800,27,27.87,-0.29,73.4,5.82
303,ambunti,12,PG,1540091775,72,-4.22,142.82,86.81,3.15
304,norman wells,75,CA,1540090800,92,65.28,-126.83,28.4,8.05
305,port keats,0,AU,1540091776,72,-14.25,129.55,91.49,9.19
306,chapais,90,CA,1540088400,86,49.78,-74.86,26.6,12.75
307,vila velha,40,BR,1540090800,74,-3.71,-38.6,80.6,8.05
308,calama,0,CL,1540087200,18,-22.46,-68.93,53.6,4.7
309,east london,76,ZA,1540091776,100,-33.02,27.91,61.61,9.08
310,gobabis,92,NA,1540087200,17,-22.45,18.97,82.4,3.36
311,westport,92,IE,1540091514,98,53.8,-9.52,56.21,14.12
312,souillac,0,FR,1540090800,87,45.6,-0.6,53.6,5.82
313,santona,0,ES,1540090800,100,43.44,-3.46,55.4,2.24
314,baijiantan,92,CN,1540091778,92,45.63,85.18,40.87,3.6
315,cap-aux-meules,90,CA,1540087200,93,47.38,-61.86,51.8,11.41
316,afrikanda,68,RU,1540091779,91,67.44,32.78,29.48,2.15
317,broken hill,0,AU,1540091779,47,-31.97,141.45,71.51,4.61
318,sokur,90,RU,1540089000,93,55.21,83.32,35.6,20.13
319,lagunas,76,PE,1540091780,95,-5.23,-75.68,75.11,2.15
320,kirksville,1,US,1540089300,56,40.19,-92.58,35.6,6.96
321,koungheul,56,SN,1540091780,80,13.98,-14.8,80.06,2.82
322,bambous virieux,40,MU,1540087200,88,-20.34,57.76,71.6,2.24
323,mattawa,90,CA,1540089480,74,46.32,-78.7,30.2,19.46
324,pyaozerskiy,24,RU,1540091781,100,65.83,31.17,34.34,7.18
325,kieta,36,PG,1540091782,96,-6.22,155.63,82.58,5.95
326,aquiraz,40,BR,1540090800,74,-3.9,-38.39,80.6,8.05
327,road town,1,VG,1540086780,74,18.42,-64.62,80.6,9.17
328,mogzon,36,RU,1540091782,75,51.74,111.97,32.99,4.38
329,onega,56,RU,1540091783,100,63.91,38.09,40.87,13.22
330,touros,56,BR,1540091568,86,-5.2,-35.46,78.08,8.41
331,ekhabi,76,RU,1540091783,79,53.51,142.97,41.0,15.35
332,balkhash,12,KZ,1540091784,100,46.84,74.98,40.87,8.97
333,ampanihy,68,MG,1540091784,90,-24.69,44.75,56.21,3.6
334,belle fourche,1,US,1540090500,31,44.67,-103.85,60.8,9.17
335,melilla,20,EC,1540087200,88,-0.8,-80.23,71.6,14.99
336,galle,1,US,1540090560,82,29.74,-97.91,64.4,5.82
337,lerwick,100,GB,1540090200,81,60.15,-1.15,50.0,24.16
338,svetlogorsk,75,RU,1540089000,88,53.14,59.15,41.0,6.71
339,dryden,90,CA,1540087200,58,49.79,-92.84,30.2,3.36
340,manokwari,56,ID,1540091786,100,-0.87,134.08,82.31,8.3
341,kupang,0,ID,1540091787,72,-10.16,123.6,87.85,4.94
342,ojinaga,92,US,1540091787,96,29.56,-104.41,54.82,7.85
343,wenling,56,CN,1540091787,94,28.38,121.38,68.9,9.42
344,sola,90,NO,1540090200,93,58.89,5.65,53.6,12.75
345,dakar,100,SN,1540091773,97,14.69,-17.45,80.51,20.04
346,gat,76,SN,1540091788,66,14.69,-16.54,81.41,12.44
347,namibe,32,AO,1540091214,100,-15.19,12.15,70.25,8.19
348,evensk,0,RU,1540091789,100,61.92,159.24,35.38,3.71
349,naze,76,NG,1540091249,94,5.43,7.07,74.75,6.73
